action_id,topic,condition,priority,action,reason,action_type,source_name,source_url
A001,Food business,food_business == true,1,Check FSSAI registration/licensing,Food businesses must check applicable FSSAI registration/licensing.,food_compliance,FSSAI,https://fssai.gov.in/cms/registration.php
A002,MSME formalization,udyam_registered == false AND (investment_inr <= 25000000 AND annual_turnover_inr <= 100000000),2,Check Udyam/MSME registration,Reported investment and turnover may fall within current MSME classification.,formalization,Udyam Registration Portal,https://udyamregistration.gov.in/
A003,GST,gst_registered == false,3,Check GST applicability,"GST cannot be determined from business category alone; current turnover, supply and exceptions must be checked.",tax,CBIC GST,https://cbic-gst.gov.in/
A004,Income tax,annual_turnover_inr > 0,4,Check income-tax obligations,Business/professional income may create income-tax obligations; presumptive provisions may be relevant for eligible taxpayers.,tax,Income Tax Department,https://www.incometax.gov.in/
A005,EPF,employees_total >= 20,5,Screen EPF applicability,Employee count reaches a common EPF screening trigger; establishment/category rules must be checked.,labour,EPFO,https://www.epfindia.gov.in/site_en/For_Employers.php
A006,ESI,employees_total >= 10 OR employees_wage_below_21000 > 0,6,Screen ESI applicability,ESI depends on establishment category/state and covered employee wages.,labour,ESIC,https://www.esic.gov.in/
A007,Street vendor,street_vendor == true,2,Check local street-vending requirements,Street vending can involve local vendor identification/certification in addition to central schemes.,local,MoHUA,https://www.mohua.gov.in/
A008,Existing food micro-enterprise,food_business == true AND employees_total < 10 AND business_status == existing,5,Check PMFME eligibility,PMFME may be a potential match; verify district/ODOP and current conditions.,scheme,MoFPI,https://pmfme.mofpi.gov.in/pmfme/newsletters/
A009,New non-farm enterprise,business_status == new,5,Check PMEGP eligibility,PMEGP may be a potential match for eligible new non-farm micro enterprises.,scheme,Ministry of MSME,https://www.msme.gov.in/offerings/schemes-and-services/details/prime-minister-employment-generation-programme-and-other-credit-support-schemes-1-MDMzETMtQWa
A010,Artisan,artisan_trade == true,5,Check PM Vishwakarma eligibility,Trade-level eligibility and other scheme conditions must be verified.,scheme,Ministry of MSME,https://dashboard.msme.gov.in/pmv_details.aspx?stid=1
A011,Rajasthan establishment,state == Rajasthan,6,Check Rajasthan establishment registration,State/local registration requirements can apply depending on the establishment and exemptions.,local,Rajasthan Labour Department,https://labour.rajasthan.gov.in/rulesshop.aspx
