id,data_type,user_text,business_type,legal_form,state,district,annual_turnover_inr,investment_inr,employees_total,monthly_wage_bill_inr,cash_receipts_share_pct,gst_registered,udyam_registered,food_business,street_vendor,artisan_trade,business_status,expected_compliance_summary,expected_scheme_candidates,expected_action_plan
ex001,synthetic,"home bakery in Jaipur, turnover 800000, 3 workers, existing, food business, not Udyam registered",food_processing,proprietorship,Rajasthan,Jaipur,800000,300000,3,55000,0,False,False,True,False,False,existing,Potentially applicable: Udyam; FSSAI registration/licence check; GST applicability check; income-tax check.,PMFME; CGTMSE (if eligible credit); relevant state/local registration,Check FSSAI first; check Udyam; then GST/income-tax; then PMFME eligibility
ex002,synthetic,"street food cart in Jaipur, 2 workers, turnover 500000, no registrations",street_vending,individual,Rajasthan,Jaipur,500000,50000,2,18000,0,False,False,True,True,False,existing,Potentially applicable: FSSAI; local street-vending requirements; Udyam check; GST check as relevant.,PM SVANidhi,Check vendor identification/local requirements; FSSAI; then PM SVANidhi
ex003,synthetic,"tailor in Jaipur, 2 employees, turnover 900000, makes and alters clothes, no Udyam",tailoring,proprietorship,Rajasthan,Jaipur,900000,200000,2,30000,0,False,False,False,False,True,existing,Potential Udyam/MSME formalization; income-tax check; local establishment check; GST applicability check.,PM Vishwakarma if trade/other conditions satisfied; CGTMSE if eligible credit,Verify PM Vishwakarma trade eligibility; check Udyam; tax/local registration
ex004,synthetic,"carpenter making furniture, 5 workers, turnover 1800000, rural Rajasthan",carpentry,proprietorship,Rajasthan,Nagaur,1800000,700000,5,85000,0,False,False,False,False,True,existing,Potential Udyam/MSME formalization and income-tax/local compliance checks.,PM Vishwakarma if eligible trade; CGTMSE if eligible credit; SFURTI only if cluster context,Verify artisan trade; check Udyam; check local requirements; explore scheme match
ex005,synthetic,"small kirana shop, turnover 6500000, 4 workers, proprietorship",retail,proprietorship,Rajasthan,Jaipur,6500000,1200000,4,100000,10,False,False,False,False,False,existing,Udyam/MSME check; GST applicability check; income-tax/44AD check subject to conditions; local shop registration check.,CGTMSE if eligible credit; PMS if eligible Udyam MSE and component conditions,Check Udyam; GST; income-tax; state/local registration; financing options
ex006,synthetic,"online seller of handicrafts, turnover 1200000, 2 workers, sells through e-commerce",online_seller,proprietorship,Rajasthan,Jaipur,1200000,300000,2,45000,20,False,False,False,False,True,existing,Udyam check; GST/e-commerce applicability check; income-tax check.,PM Vishwakarma if owner is eligible artisan; PMS/other MSME digital/market support where applicable,Verify GST/e-commerce position; Udyam; scheme match based on actual trade
ex007,synthetic,"small beauty salon, 6 employees, turnover 2400000",beauty_services,proprietorship,Rajasthan,Ajmer,2400000,500000,6,140000,5,False,False,False,False,False,existing,Udyam check; income-tax check; state/local establishment requirements; GST check based on current rules.,CGTMSE if eligible credit; relevant MSME support,Check Udyam; local registration; income tax; GST; financing
ex008,synthetic,"food processing unit making pickles, 8 workers, turnover 7000000, existing unit",food_processing,proprietorship,Rajasthan,Kota,7000000,1800000,8,220000,0,False,False,True,False,False,existing,FSSAI licensing/registration; Udyam; GST; income-tax.,PMFME; CGTMSE; relevant food-processing/ODOP support,Check FSSAI; Udyam; GST/tax; PMFME and district/ODOP conditions
ex009,synthetic,"new non-farm micro manufacturing unit, 7 workers, proposed investment 1200000",manufacturing,proprietorship,Rajasthan,Bikaner,0,1200000,7,0,0,False,False,False,False,False,new,Udyam and other establishment/tax checks after setup; exact registrations depend on activity.,PMEGP potential match; CGTMSE later if eligible credit,Check PMEGP conditions before applying; then Udyam and sector/local registrations
ex010,synthetic,"plumber/home repair service, 3 workers, turnover 1000000",home_services,proprietorship,Rajasthan,Jaipur,1000000,150000,3,50000,0,False,False,False,False,False,existing,Udyam; income-tax; local establishment requirements; GST applicability check.,CGTMSE if eligible credit; general MSME support,Check Udyam; tax; local rules; financing options
ex011,synthetic,"traditional potter, 1 helper, turnover 400000",pottery,individual,Rajasthan,Jodhpur,400000,80000,1,12000,0,False,False,False,False,True,existing,Udyam may be relevant; income-tax and local requirements should be checked.,PM Vishwakarma potential match if all trade/eligibility conditions are met,Verify eligible trade and scheme conditions; check Udyam and local requirements
ex012,synthetic,"small factory with 24 employees, turnover 9000000, manufacturing",manufacturing,proprietorship,Rajasthan,Jaipur,9000000,3000000,24,420000,5,False,False,False,False,False,existing,Udyam; GST; income-tax; EPF screening; ESI screening; state/local establishment checks.,CGTMSE; PMS; ZED if eligible,Prioritize labour-law screening alongside tax/MSME checks
