scheme_id,scheme_name,business_status_scope,enterprise_scope,condition,match_strength,why_match,eligibility_warning,source_name,source_url
S001,PMEGP,new,non_farm_micro,business_status == new,high,Potential match for eligible new micro enterprises.,"Verify project cost, beneficiary, location/category and other current PMEGP conditions.",Ministry of MSME,https://www.msme.gov.in/offerings/schemes-and-services/details/prime-minister-employment-generation-programme-and-other-credit-support-schemes-1-MDMzETMtQWa
S002,CGTMSE,existing_or_new,micro_small,udyam_registered == true AND credit_need == true,medium,Potential credit-guarantee route through eligible lenders.,Not a direct grant; lender credit decision and scheme conditions apply.,CGTMSE,https://www.cgtmse.in/schemes.aspx
S003,Procurement & Marketing Support (PMS),existing,micro_small,udyam_registered == true,medium,Potential market-access support for eligible MSEs.,Component-specific conditions apply.,Ministry of MSME,https://msme.gov.in/sites/default/files/PMSSchemeGuidelines.pdf
S004,PM Vishwakarma,existing_or_new,traditional_artisan,artisan_trade in eligible_trade_list AND owner_age >= 18,high,Potential match for eligible traditional artisans.,Trade list and all current scheme conditions must be verified.,Ministry of MSME,https://dashboard.msme.gov.in/pmv_details.aspx?stid=1
S005,PM SVANidhi,existing,street_vendor,street_vendor == true,high,Potential match for eligible street vendors.,Verify current vendor identification and loan guidelines.,Ministry of Housing & Urban Affairs,https://www.mohua.gov.in/documents/guidelines/guidelines-pradhan-mantri-street-vendors-atmanirbhar-nidhi-pm-svanidhi-scheme-UTM0EDNtQWa
S006,PMFME,existing,food_processing,food_business == true AND employees_total < 10 AND business_status == existing,high,Potential match for existing micro food-processing enterprises.,"Verify current district/ODOP, scheme status and all component conditions.",Ministry of Food Processing Industries,https://pmfme.mofpi.gov.in/pmfme/newsletters/
S007,ZED Certification,existing,micro_small,udyam_registered == true,medium,Potential quality/sustainability support for eligible MSEs.,Check current ZED requirements and support components.,Ministry of MSME,https://www.msme.gov.in/offerings
S008,SFURTI,existing,traditional_industry_cluster,cluster_context == true,low,Potential cluster-level support for traditional industries.,Usually not a direct individual-business benefit; cluster/project conditions apply.,Ministry of MSME,https://my.msme.gov.in/mymsme/Scheme.aspx
S009,ASPIRE,new_or_existing,rural_entrepreneurship,rural_urban == rural,low,Potential rural entrepreneurship/incubation support.,Check current implementing-agency/project conditions.,Ministry of MSME,https://my.msme.gov.in/MyMsme/Reg/home.aspx
S010,MSME TEAM,existing,micro_small,ecommerce_selling == true,medium,Potential digital/e-commerce enablement support.,Check current programme eligibility and availability.,Ministry of MSME,https://www.msme.gov.in/
