rule_id,rule_name,activity_scope,legal_form_scope,condition,status,topic,user_message,source_name,source_url
R001,udyam_micro,all,all,investment_inr <= 25000000 AND annual_turnover_inr <= 100000000,potential,Udyam/MSME formalization,Check Udyam registration and current classification.,Udyam Registration Portal,https://udyamregistration.gov.in/
R002,udyam_small,all,all,investment_inr <= 250000000 AND annual_turnover_inr <= 1000000000,potential,Udyam/MSME formalization,Check Udyam registration and current classification.,Udyam Registration Portal,https://udyamregistration.gov.in/
R003,udyam_medium,all,all,investment_inr <= 1250000000 AND annual_turnover_inr <= 5000000000,potential,Udyam/MSME formalization,Check Udyam registration and current classification.,Udyam Registration Portal,https://udyamregistration.gov.in/
R004,gst_general,taxable_supply,all,always,check,GST,"GST applicability depends on turnover, nature of supply, state and statutory exceptions.",CBIC GST,https://cbic-gst.gov.in/
R005,gst_ecommerce,online_seller,all,ecommerce_selling == true,check,GST/e-commerce,Perform an additional current GST/e-commerce applicability check.,CBIC GST,https://cbic-gst.gov.in/
R006,fssai_pettty,food_business,all,food_business == true AND annual_turnover_inr <= 1200000,potential,FSSAI registration,Food business should check petty-FBO registration eligibility.,FSSAI,https://fssai.gov.in/cms/registration.php
R007,fssai_license,food_business,all,food_business == true AND annual_turnover_inr > 1200000,potential,FSSAI licence,Food business should check applicable licence category.,FSSAI,https://fssai.gov.in/cms/licensing.php
R008,income_44ad,business,individual/proprietorship/partnership,annual_turnover_inr <= 20000000 OR (annual_turnover_inr <= 30000000 AND cash_receipts_share_pct <= 5),potential,Income tax / 44AD,Potential presumptive-tax route; exclusions and taxpayer conditions must be verified.,Income Tax Department,https://www.incometax.gov.in/iec/foportal/help/e-filing-itr4-form-sugam-faq
R009,income_44ada,specified_profession,individual/partnership,annual_turnover_inr <= 5000000 OR (annual_turnover_inr <= 7500000 AND cash_receipts_share_pct <= 5),potential,Income tax / 44ADA,Potential presumptive-tax route only for specified professions and eligible taxpayers.,Income Tax Department,https://www.incometax.gov.in/iec/foportal/help/e-filing-itr4-form-sugam-faq
R010,epf_screen,all,all,employees_total >= 20,screen,EPF,Screen EPF applicability; establishment/category conditions also matter.,EPFO,https://www.epfindia.gov.in/site_en/For_Employers.php
R011,esi_screen,all,all,employees_total >= 10 OR employees_wage_below_21000 > 0,screen,ESI,Screen ESI applicability; state/establishment conditions and wage coverage must be verified.,ESIC,https://www.esic.gov.in/
R012,rajasthan_shop,shop_or_commercial_establishment,all,state == Rajasthan,check,Rajasthan Shops & Commercial Establishments,Check state establishment registration and exemptions.,Rajasthan Labour Department,https://labour.rajasthan.gov.in/rulesshop.aspx
